,Full_time,Part_time,Full_time_year_round,Unemployment_rate,College_jobs,Non_college_jobs,Low_wage_jobs
92,5.222619207379299e-44,2.173964821061931e-44,3.3561023881646223e-44,0.07858468099999999,2.505393767053271e-44,3.0978460666129293e-44,9.761474058650309e-45
93,2.34454500982138e-53,7.938847252518331e-54,1.8499046522329743e-53,0.07517697599999999,6.486624918406957e-54,1.5589032296612594e-53,4.3665330756099133e-54
94,9.12573814893919e-52,2.675566512667977e-52,7.348057303012345e-52,0.082452199,2.020491701831149e-52,7.373782308251694e-52,1.5272354723386094e-52
95,4.913495431529345e-50,1.7765599141369071e-50,3.8058317789910393e-50,0.096797577,2.7237380009703866e-50,2.776917512075482e-50,1.0810010483404096e-50
96,1.1768069868476812e-48,3.6399962468833184e-49,9.047114303975366e-49,0.069176442,5.328604743503758e-49,6.105268513197828e-49,1.948412027007345e-49
97,1.8768063843351805e-47,6.512047092595486e-48,1.4362899267807875e-47,0.055806815,8.887186479904736e-48,1.0928120450294065e-47,2.851654825974008e-48
98,2.3397973866342194e-47,6.599536722625642e-48,1.8646042190743185e-47,0.06796076599999999,5.82251783009144e-48,1.3900138590338392e-47,4.3486534451060826e-48
99,9.272620853898293e-45,4.717146124609096e-45,6.481193642962022e-45,0.063429289,4.185163184657374e-45,5.842912996607306e-45,1.8179379834595588e-45
100,1.0623755799055966e-44,2.536333100098934e-45,8.19127798405714e-45,0.041507819,9.935160804482237e-45,1.868902926659354e-45,5.803098631897229e-46
101,1.6171487815046253e-42,9.856289768749304e-43,1.1433959144667438e-42,0.06916280000000001,9.925604755656883e-43,1.038820695088789e-42,3.3708179502663492e-43
102,6.838968540968293e-43,2.2818327028216035e-43,5.2979906117900675e-43,0.097243919,1.6941716281349917e-43,5.326620253890183e-43,9.518100312231871e-44
103,4.46534151315196e-42,3.091926922136676e-42,3.081229822375973e-42,0.068700676,3.039371605921055e-42,2.5454446517530122e-42,1.1390085788677376e-42
104,1.1556009210681885e-42,2.8168519570001142e-43,9.376983386412626e-43,0.089626262,2.2106182833201872e-43,7.336281301771742e-43,1.1877056902658862e-43
105,1.630788077373325e-42,6.383771039880553e-43,1.236600424249783e-42,0.11951146900000001,6.186404984276572e-43,1.1969910986078806e-42,3.396057301599571e-43
106,1.2359691734390556e-41,2.784314539412246e-42,9.696986071557271e-42,0.072724524,4.837918350858725e-42,6.500258820268544e-42,5.89009950038975e-43
107,1.7409585422295582e-41,4.242794880475505e-42,1.1291387523469823e-41,0.066619195,7.035602838538215e-42,9.43059803513269e-42,2.281334407603552e-42
108,2.301057411106522e-40,8.823538945291984e-41,1.571495792660515e-40,0.048481675,1.6067555486797125e-40,6.596154357737768e-41,2.585715441407852e-41
109,9.797400877824395e-41,3.8704124732740055e-41,7.604207802833328e-41,0.070860927,6.313663713099984e-41,4.760863499271491e-41,1.2942034775114148e-41
110,3.428391729142833e-36,1.6877641118645987e-36,2.786293541435751e-36,0.022228555,2.3311516533622577e-36,1.6980789421892108e-36,3.0557684836662326e-37
111,1.36068127175959e-35,4.902414125102283e-36,9.700287432722028e-36,0.096725743,6.030354524256006e-36,9.30963490423464e-36,1.7992024903574037e-36
112,1.0625627877125205e-28,4.0281581091560724e-29,8.339375977333922e-29,0.0,7.729708804056245e-29,3.135431176856618e-29,0.0
113,1.5580499301262888e-51,4.6797861794440336e-52,1.1641834953674109e-51,0.057359929000000004,1.2983802192897592e-51,4.925824061670709e-52,1.811719103165914e-52
114,4.62809576162519e-51,2.222039056935976e-51,3.2364588846603185e-51,0.09566691199999999,1.931228868728377e-51,2.982375711388919e-51,9.20306851950338e-52
115,1.1230600553976872e-46,5.576640063765818e-47,7.676923132602595e-47,0.075566386,5.761137318947033e-47,6.963814447120016e-47,2.0160727034013697e-47
116,1.36502902514699e-43,7.586875827380994e-44,8.369527971519197e-44,0.083633531,4.713030408686415e-44,9.835930895287248e-44,3.012687718869766e-44
117,2.6211033369506404e-43,9.674233713298753e-44,1.6606061778381045e-43,0.054082940999999995,2.0456661381371665e-43,1.0409909767734976e-43,3.3807403417603604e-44
118,1.6798805637338593e-42,1.0607583280454321e-42,1.2409059318204368e-42,0.112144387,8.691331761074774e-43,1.2284303359911428e-42,3.083967289001461e-43
119,5.702280475458995e-42,1.1511931362215384e-42,4.088685520772757e-42,0.016202835,5.4186605210885345e-42,1.0012797317685794e-42,3.980808645271135e-43
120,3.536677010861968e-29,0.0,2.4317670033757591e-29,0.0,1.6694273475555808e-29,9.939365132845364e-30,5.3556773288632795e-30
121,2.3444787230483666e-39,1.8139524182503864e-39,1.5085967683007582e-39,0.06977971200000001,1.422351279383688e-39,1.64985289339196e-39,5.403163332696474e-40
122,9.791098248179003e-40,4.138173189816272e-40,7.319152113763828e-40,0.058545455,6.853446486093697e-40,4.386334666152606e-40,7.396501145349181e-41
123,1.9560573555295498e-53,9.795852723443665e-54,1.3581084672858515e-53,0.070724732,1.1942735038826072e-53,1.0978593891832255e-53,3.835855112264167e-54
124,1.6872538167021486e-50,6.806194742869683e-51,1.298846725096839e-50,0.084951001,6.671168510243499e-51,1.1228992770727238e-50,3.157041915212132e-51
125,2.525625258245264e-47,9.234288665417417e-48,1.9432394736271047e-47,0.089836827,9.076829851195972e-48,1.7862043154080476e-47,4.53947406560396e-48
126,1.3100799557107922e-46,5.387823828516139e-47,9.485205808585634e-47,0.059821207,9.694678952736597e-47,6.378457239396716e-47,1.949845850138515e-47
127,1.9604057277994438e-46,4.568184242577435e-47,1.4084929958499365e-46,0.061169193,1.41727093194456e-47,1.4228180998932465e-46,5.524613529554216e-47
128,5.754833840270001e-45,1.944966719721488e-45,4.1016524303451066e-45,0.050306435,4.832190420526448e-45,1.833464966898664e-45,7.57405882427804e-46
129,2.5178335692178497e-41,1.4374443361961043e-41,1.7320147963149497e-41,0.10443571,1.2264842794039205e-41,1.6945240104816423e-41,6.203832417654476e-42
130,3.3994494404505197e-40,1.0305049102246758e-40,2.721805884589788e-40,0.059211951,2.4728373958343262e-40,1.140949578168828e-40,3.074667238953733e-41
131,1.5023318593922114e-39,7.2866823370144264e-40,1.2120473019296404e-39,0.092305816,6.7621646246817e-40,1.0042971492017763e-39,3.779612927103459e-40
132,1.17195027727799e-39,5.7332066928769774e-40,8.18252629789666e-40,0.054475193,5.973746192942959e-40,8.69916331108185e-40,2.0414482788208426e-40
133,1.3298376155933873e-42,4.017129282886733e-43,9.764534504912144e-43,0.05222898,1.0944606063158357e-42,4.213630847491188e-43,1.4711063079846973e-43
134,9.926511122943157e-45,6.058854746845411e-45,6.999266815687489e-45,0.082101621,5.1168033774765897e-45,7.042981496400657e-45,2.0851902700182254e-45
135,7.098898652023438e-47,3.804302664995768e-47,4.981971723365609e-47,0.096051684,3.2984781615462444e-47,4.638741823282253e-47,1.8385521793553593e-47
136,1.296042444661847e-45,5.185183279559888e-46,9.311258105557813e-46,0.038637747,1.1723390277306593e-45,4.6508430762476564e-46,1.5579761249367153e-46
137,1.404611572776868e-52,7.100664783786688e-53,9.968559743152673e-53,0.08772359,7.084087356275902e-53,8.82005100605355e-53,3.2544560097656475e-53
138,1.494940799733028e-52,4.607631900587316e-53,1.0502949155190999e-52,0.046585715,1.3117763571051765e-52,4.487116202515853e-53,1.3959431613474335e-53
139,5.547179553719879e-51,2.759332806110467e-51,4.1537218598642776e-51,0.051467273,1.97598748864943e-51,4.581287696210305e-51,1.2063259973851237e-51
140,3.2142480739823446e-48,1.420975963583771e-48,2.4763951774802805e-48,0.078267592,1.3749110733273942e-48,2.1149857491022748e-48,6.687555611174991e-49
141,7.587655090405792e-46,4.330879589830406e-46,5.3181498473966755e-46,0.10577224,2.4894617582985202e-46,7.001104382967379e-46,1.980622262099067e-46
142,1.2036826682895892e-40,5.308709534430449e-41,8.877550484696854e-41,0.103454715,5.630733728804025e-41,7.469085440373583e-41,2.55430841556518e-41
143,5.657699021764803e-39,1.2158490826352099e-39,4.412575884170481e-39,0.045454545,2.0384500269863186e-39,3.459217494335328e-39,1.2012120551556524e-39
144,4.5224819968979655e-38,1.164795426153192e-38,3.0823885482635804e-38,0.047263682,4.000365057709494e-38,1.0499296995317276e-38,5.610383837461583e-39
145,9.879143499306416e-56,4.878972213726628e-56,7.389627296721818e-56,0.083810867,5.301580371995451e-56,6.009542234564474e-56,2.0421683526127842e-56
146,1.0061270916227932e-47,8.650750791570948e-48,7.430635276807425e-48,0.075959674,4.769479408478679e-48,9.983583060825137e-48,3.220577791385472e-48
147,1.4031600003143795e-44,5.2239169939613616e-45,9.863304410036865e-45,0.074667496,9.231810156548312e-45,6.73979221572221e-45,1.4754133473954496e-45
148,2.677153025269354e-43,1.2394600795621952e-43,2.0115992985077003e-43,0.060298284,1.0373917506303127e-43,1.9657756115271433e-43,6.915945004202088e-44
149,1.2503782481889056e-48,6.916786979505367e-49,9.32052834569211e-49,0.084186296,6.079380912997782e-49,9.568475393317258e-49,3.473597789842904e-49
150,1.6237421271519657e-47,7.013371171022393e-48,1.1888972072046905e-47,0.067128194,9.272655873481915e-48,8.896182068182578e-48,2.318937242031598e-48
151,2.2592550817228367e-47,8.716698937267271e-48,1.783816410365176e-47,0.06882792,1.7748287896227967e-47,9.321261915261845e-48,2.808793129848602e-48
152,3.930339634504997e-43,1.453077426859952e-43,2.938186076654609e-43,0.050862499000000005,1.47750802062371e-43,2.5980579212547363e-43,5.768334638665045e-44
153,5.264273908640696e-42,3.896946223597759e-42,3.93994786911643e-42,0.102197419,2.3987439652371302e-42,4.7582255584789514e-42,1.7699228010583137e-42
154,6.140758992607527e-42,1.158653520507335e-42,4.4258052497427866e-42,0.03654583,5.634175158889779e-42,1.0199709627230332e-42,3.778445536613803e-43
155,9.861387103870338e-40,6.107196281785496e-40,7.277062815738196e-40,0.05190783,5.6123256734197655e-40,7.48562897252069e-40,3.1284923517373696e-40
156,5.0523322793741046e-40,1.8823949081169207e-40,3.961247663193237e-40,0.037819026,2.25261228505634e-40,3.5965091903522862e-40,5.666752238988153e-41
157,6.515725406612243e-38,4.0666168386289585e-38,4.863490969704118e-38,0.068584071,2.134745378660056e-38,6.130082191802936e-38,2.0853976687081544e-38
158,1.0834542615414211e-44,5.253965103674783e-45,8.356483335877854e-45,0.062628297,5.949140137353664e-45,7.21363955206266e-45,1.980050268340536e-45
159,2.774893666092919e-42,1.5062646414453285e-42,1.9682601422588088e-42,0.089552239,1.0482518604664476e-42,2.3118361066568798e-42,9.521355551247927e-43
160,3.777156378995051e-40,1.0174955320080634e-40,2.9326942441453347e-40,0.055676856,2.7754359715142433e-41,3.640109984664506e-40,1.5592724649910392e-40
161,6.669841703025295e-32,2.0349699185004316e-32,5.685766697660909e-32,0.05976676400000001,2.9340014048827113e-32,3.8026602059142396e-32,1.883106491746668e-33
162,1.3022025912291325e-45,9.381779228515837e-46,8.552511384892976e-46,0.102791571,6.337467815060129e-46,1.0789530875757137e-45,4.437843347088511e-46
